,abonds,atoms,bonds,cansmi,cansmiNS,dbonds,formula,HBA1,HBA2,HBD,InChI,InChIKey,L5,logP,MP,MR,MW,nF,rotors,s,sbonds,smarts,tbonds,title,TPSA,CHARGE
0,11.0,42.0,44.0,0.0,0.0,0.0,0.0,19.0,3.0,2.0,0.0,0.0,0.0,4.7767,133.02669999999986,86.5125,378.3121592000001,6.0,4.0,0.0,33.0,0.0,0.0,0.0,45.150000000000006,0
1,18.0,69.0,73.0,0.0,0.0,0.0,0.0,39.0,4.0,0.0,0.0,0.0,0.0,6.194400000000002,139.76609999999982,140.93500000000006,457.6038000000004,0.0,7.0,0.0,55.0,0.0,0.0,0.0,30.93,0
2,17.0,30.0,32.0,0.0,0.0,0.0,0.0,18.0,7.0,3.0,0.0,0.0,0.0,2.577,298.4234,73.7772,253.2626399999998,0.0,1.0,0.0,15.0,0.0,0.0,0.0,129.62,0
3,12.0,59.0,61.0,0.0,0.0,4.0,0.0,28.0,4.0,2.0,0.0,0.0,0.0,7.039400000000001,202.93460000000005,133.0344,494.4752792000001,6.0,7.0,0.0,45.0,0.0,0.0,0.0,48.78,0
4,0.0,92.0,91.0,0.0,0.0,0.0,0.0,64.0,3.0,0.0,0.0,0.0,0.0,7.9826,8.965600000000194,145.40040000000002,474.85570000000087,0.0,25.0,0.0,91.0,0.0,0.0,0.0,27.69,1
5,16.0,83.0,85.0,0.0,0.0,3.0,0.0,50.0,7.0,1.0,0.0,0.0,0.0,8.202800000000002,178.4643999999999,161.2032,556.7564599999981,0.0,18.0,0.0,66.0,0.0,0.0,0.0,97.22999999999999,0
6,22.0,47.0,50.0,0.0,0.0,2.0,0.0,25.0,5.0,2.0,0.0,0.0,0.0,5.738500000000004,254.92490000000006,113.55439999999999,393.4588600000002,0.0,5.0,0.0,26.0,0.0,0.0,0.0,88.7,0
7,0.0,45.0,44.0,0.0,0.0,0.0,0.0,32.0,3.0,2.0,0.0,0.0,0.0,3.1635999999999997,32.70570000000003,69.55919999999998,231.37485999999973,0.0,12.0,0.0,44.0,0.0,0.0,0.0,55.480000000000004,0
8,11.0,34.0,35.0,0.0,0.0,1.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,2.9476000000000004,96.18390000000002,71.271,231.2902799999998,0.0,3.0,0.0,23.0,0.0,0.0,0.0,33.45,0
9,11.0,28.0,29.0,0.0,0.0,1.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,2.1673999999999998,97.51209999999995,61.657,203.23711999999986,0.0,1.0,0.0,17.0,0.0,0.0,0.0,33.45,0
10,17.0,39.0,41.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,5.801400000000002,121.57120000000002,98.192,381.68350000000015,0.0,6.0,0.0,24.0,0.0,0.0,0.0,27.05,0
11,17.0,28.0,31.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,4.6506,172.04739999999998,72.7824,217.26523999999984,0.0,0.0,0.0,14.0,0.0,0.0,0.0,26.02,0
12,16.0,90.0,95.0,0.0,0.0,3.0,0.0,54.0,12.0,1.0,0.0,0.0,0.0,4.635700000000001,268.88260000000025,176.8102,666.7147799999984,0.0,13.0,0.0,76.0,0.0,0.0,0.0,144.07999999999998,0
13,18.0,37.0,41.0,0.0,0.0,1.0,0.0,17.0,5.0,2.0,0.0,0.0,0.0,3.665800000000001,243.14999999999995,88.74349999999998,332.3062800000001,0.0,0.0,0.0,22.0,0.0,0.0,0.0,75.99000000000001,0
14,0.0,32.0,31.0,0.0,0.0,2.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,4.277399999999999,33.36870000000001,70.37799999999999,270.21908000000025,0.0,6.0,0.0,29.0,0.0,0.0,0.0,45.61,0
15,0.0,62.0,61.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,6.173899999999999,38.91080000000005,95.82140000000001,284.54348000000033,0.0,15.0,0.0,61.0,0.0,0.0,0.0,0.0,1
16,18.0,76.0,79.0,0.0,0.0,0.0,0.0,44.0,3.0,2.0,0.0,0.0,0.0,6.383700000000001,141.1478,149.8186,471.6734400000005,0.0,9.0,0.0,61.0,0.0,0.0,0.0,43.7,0
17,12.0,44.0,47.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,4.211600000000003,120.67520000000002,105.37800000000004,344.90144000000026,0.0,1.0,0.0,35.0,0.0,0.0,0.0,31.78,0
